iso3,date,year,month,exchange_rate,depreciation,log_depreciation,is_structural_break
CHL,2016-01-31,2016,1,711.72,0.00619221307998985,0.006173120106544489,False
CHL,2016-02-29,2016,2,689.18,-0.03166975776990966,-0.032182090558565635,False
CHL,2016-03-31,2016,3,675.1,-0.0204300763225862,-0.020641657032245197,False
CHL,2016-04-30,2016,4,663.4,-0.017330765812472282,-0.01748270153487281,False
CHL,2016-05-31,2016,5,690.27,0.040503466988242476,0.039704698886599075,False
CHL,2016-06-30,2016,6,661.49,-0.041693829950599004,-0.04258795911678031,False
CHL,2016-07-31,2016,7,664.94,0.0052154983446461856,0.0052019447386026435,False
CHL,2016-08-31,2016,8,673.17,0.012377056576533096,0.01230108702244764,False
CHL,2016-09-30,2016,9,659.08,-0.020930819852340354,-0.021152974854590334,False
CHL,2016-10-31,2016,10,651.65,-0.011273290040662798,-0.011337315212501958,False
CHL,2016-11-30,2016,11,675.48,0.03656871019719188,0.03591594128720687,False
CHL,2016-12-31,2016,12,667.29,-0.012124711316397363,-0.012198815230187125,False
CIV,1990-01-31,1990,1,285.799797835672,,,False
CIV,1990-02-28,1990,2,286.249797517359,0.001574527641708734,0.0015732893726836167,False
CIV,1990-03-31,1990,3,284.899798472299,-0.004716157205240212,-0.004727313364586832,False
CIV,1990-04-30,1990,4,281.924800576703,-0.01044226044226304,-0.010497163385513854,False
CIV,1990-05-31,1990,5,285.19979826009,0.01161656468919281,0.011549610421791884,False
CIV,1990-06-30,1990,6,280.499801584695,-0.01647966339411233,-0.01661696357739285,False
CIV,1990-07-31,1990,7,267.074811081043,-0.047860962566843135,-0.04904420713079802,False
CIV,1990-08-31,1990,8,262.124814582489,-0.0185341196293195,-0.018708028609869025,False
CIV,1990-09-30,1990,9,261.824814794698,-0.0011444921316162704,-0.0011451475628742728,False
CIV,1990-10-31,1990,10,254.424820029184,-0.02826315286928205,-0.028670244581213276,False
CIV,1990-11-30,1990,11,253.974820347497,-0.001768694114180236,-0.0017702601003878108,False
CIV,1990-12-31,1990,12,256.449818596774,0.009745053647013613,0.009697876857669912,False
CIV,1991-01-31,1991,1,252.199821603067,-0.016572431273150667,-0.016711290304456245,False
CIV,1991-02-28,1991,2,258.849816899103,0.026367961934970596,0.026026319817089572,False
CIV,1991-03-31,1991,3,290.799794298857,0.12343055823836169,0.11638700231145367,False
CIV,1991-04-30,1991,4,292.599793025604,0.006189821182944533,0.006170742926660557,False
CIV,1991-05-31,1991,5,292.324793220129,-0.0009398496240595744,-0.0009402915596411884,False
CIV,1991-06-30,1991,6,307.224782680421,0.050970666210552684,0.04971418114427815,False
CIV,1991-07-31,1991,7,296.899789983943,-0.033607291073318835,-0.03418499640094808,False
CIV,1991-08-31,1991,8,295.774790779727,-0.0037891545975050622,-0.0037963516299851056,False
CIV,1991-09-30,1991,9,283.324799586395,-0.04209280703237461,-0.04300438152071648,False
CIV,1991-10-31,1991,10,285.974797711883,0.009353216271066112,0.00930974579272432,False
