iso3,date,year,month,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m,target,macro_current_account_pct_gdp,macro_exports_vol_pct,macro_fiscal_balance_pct_gdp,macro_gdp_growth_pct,macro_gdp_usd_bn,macro_govt_gross_debt_pct_gdp,macro_gross_savings_pct_gdp,macro_imports_vol_pct,macro_inflation_avg_pct,macro_inflation_eop_pct,macro_investment_pct_gdp
LKA,2019-02-28,2019,2,-0.000459745577798,0.0003257659608164,0.0164250997438255,0.0007079559330827,0.0182996291784424,0.0231835507818695,0.1134951354096347,0.012643936486544,0.0169466447698887,0.1609563522862134,-0.3834829992601007,-0.7035243600775942,0.0480903928210907,0.0480903928210907,0.6282160089169039,0.7028643235336537,0.0480903928210907,0.0392307549902138,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2019-03-31,2019,3,-0.0204082994715221,-0.0121868432321234,0.0104260894831303,-0.0362238228310931,0.0068831804630069,0.022432955527987,0.0407218696949804,0.0103509808106809,0.0194417059047983,0.1292375258459022,-0.1397218348637631,-2.2793109877020044,0.030371117159337,0.030371117159337,0.3092839253251847,0.0818397585858219,0.0480903928210907,0.0392307549902138,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2019-04-30,2019,4,-0.0037841367171974,-0.0082173939221725,0.0106876811187835,-0.0245638671107354,0.0011926631421777,0.0194142969837613,0.0062353692763117,0.0091415682197204,0.0198629070858641,0.1130229203550488,0.5685847140428228,-0.8842200497667752,0.030371117159337,0.030371117159337,0.4701992472722411,-0.0890244544726047,0.0480903928210907,0.0392307549902138,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2019-05-31,2019,5,0.0054102420161457,-0.0062607313908579,0.013086229862753,-0.0188354354908859,-0.0029674827150207,0.0137632812096249,-0.0181408142161113,0.0093576656421997,0.0198018572006437,0.1159010690113224,0.155861840363255,-0.6543636132907553,0.0171295281072976,0.0171295281072976,0.4380974975430565,-0.0704601556751147,0.0480903928210907,0.0392307549902138,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2019-06-30,2019,6,0.0007346405702985,0.0007869152897489,0.0045974122675434,0.0023414523363423,-0.0056999639711872,0.0101208369042445,-0.0339671868493499,0.0093309083772232,0.0198143080345118,0.1155431453541671,-0.6918939399392199,-1.280335879887717,0.0054102420161457,0.0054102420161457,0.4411661105250214,-0.0761923268127357,0.0480903928210907,0.0392307549902138,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2019-07-31,2019,7,-0.0017015742393895,0.0014811027823515,0.0036141924393481,0.0044368201933733,-0.0033681455699104,0.0088957190475215,-0.0202360323789864,0.008424636220872,0.0200692207500975,0.1035215990111997,-1.7784782976799147,3.879037071811989,0.0054102420161457,0.0054102420161457,0.5691325783645668,-0.1317770439606399,0.0480903928210907,0.0392307549902138,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2019-08-31,2019,8,0.0254326437512057,0.0081552366940382,0.0150121744465627,0.024439836565147,0.0009472526515901,0.0148657982698986,0.0051440661092305,0.0096234409150162,0.0206610301570895,0.1192230279984882,0.447897824106705,1.8967253473541743,0.0254326437512057,0.0254326437512057,0.3731085428390752,-0.6477524371833548,0.0480903928210907,0.0392307549902138,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2019-09-30,2019,9,0.0066559947942805,0.0101290214353656,0.0138965061086429,0.0305014546080715,0.0054579683625572,0.0105774343205182,0.0329143246465675,0.0061705744127821,0.0167377953941534,0.0749765271809039,1.7008854306147587,3.2350458001673443,0.0254326437512057,0.0254326437512057,0.131096036282861,-0.8583674953537945,0.030371117159337,0.0303650421835572,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2019-10-31,2019,10,-0.0017924752318509,0.0100987211045451,0.0139352448577676,0.0304076213388408,0.0057899119434483,0.0102557485420566,0.0349793546806027,0.003491287542813,0.0149966075475296,0.0414328331503954,1.833846874355708,3.6194851846869542,0.0254326437512057,0.0254326437512057,0.3588208570520744,-0.124016743153405,0.030371117159337,0.0279018804552714,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2019-11-30,2019,11,-0.006436084362925,-0.0005241882668318,0.0066375483451243,-0.001615720741483,0.0038155242136032,0.0114179112430659,0.0227846278728072,0.0004240207492912,0.0125662266811793,0.0042304819554721,1.7480879568504668,3.28397948088864,0.0254326437512057,0.0254326437512057,0.3861343188461794,0.5769575221302671,0.0254326437512057,0.0212810859292517,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2019-12-31,2019,12,0.0066601157331585,-0.0005228146205391,0.0066397773147977,-0.0016116336644549,0.0048031034074132,0.011354219186522,0.0288406637725553,-0.000448430281887,0.0116294744584157,-0.0061061592920161,1.3957919717195546,2.2064516651506225,0.0254326437512057,0.0254326437512057,0.4512485307174383,1.7307843573069324,0.0254326437512057,0.0160463797421821,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2020-01-31,2020,1,-0.0002659193763281,-1.396266869824192e-05,0.0065517345700245,-8.480124845056114e-05,0.0050423792179234,0.0112038574597344,0.0303202414861383,0.0008371168240064,0.010598078635357,0.0094706477186998,1.3875483458263689,2.3332774174729716,0.0254326437512057,0.0254326437512057,0.4818601365564983,3.158298621131971,0.0254326437512057,0.0160463797421821,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2020-02-29,2020,2,0.0012192590055273,0.0025378184541192,0.0036464283688376,0.0076194783306535,0.0010068150936436,0.005074855732026,0.0059914466399924,0.0009770338726169,0.0105904813074807,0.011166333146829,-0.1729272105742132,-0.7908929340207875,0.0066601157331585,0.0066601157331585,0.4355386197286424,3.1438604407645587,0.0254326437512057,0.0160463797421821,0.0,0.0,0.0,,,,,,,,,,,,
LKA,2020-03-31,2020,3,0.0374930352004956,0.0128154582765649,0.0213843059469759,0.0384817820452119,0.0061463218280128,0.0159349593853526,0.0368081298453448,0.005802145095285,0.0128997770543432,0.070933969227275,2.0705329779943287,4.5724258104805955,0.0374930352004956,0.0374930352004956,1.797493087907461,2.7782133270826335,0.0374930352004956,0.0314628394758507,0.0,0.0,0.0,,,,,,,,,,,,
