iso3,date,year,month,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m
ARG,2004-12-31,2004,12,0.0119699042407661,-0.00018620541434579788,0.01083176704238028,-0.0006754474839578695,0.0012163626681134315,0.008292443487781227,0.007147719537100139,0.0016450384519578673,0.01553893282535202,0.01858864027538787,0.0882577598194413,-2.1141526989740256,0.0119699042407661,0.0119699042407661,1.5919299727815979,4.430328474248568,0.0425531914893617,0.0272615478650639,0.0,0.0,0.0
ARG,2005-01-31,2005,1,-0.0185873605947956,-0.00514367189202113,0.015605693315886165,-0.015593220338983027,-0.003129545286703285,0.010801430706868079,-0.018918918918918837,1.0033215931434051e-05,0.016604870252002964,-0.0013755158184316496,0.060082551972001685,-0.26711051150229836,0.0119699042407661,0.0119699042407661,1.4629976142625372,3.536140722609965,0.0425531914893617,0.0272615478650639,0.0,0.0,0.0
ARG,2005-02-28,2005,2,0.0048209366391185,-0.0005988399049703308,0.015983337946081855,-0.0020519835841312783,-0.003283263054057385,0.010655482515775923,-0.01981860933825985,0.0005550608336112923,0.01665021999929505,0.0051670685497764435,0.0789132356248704,-0.04585632007845083,0.0119699042407661,0.0119699042407661,1.3359415740607168,3.191277990288867,0.0425531914893617,0.0272615478650639,0.0,0.0,0.0
ARG,2005-03-31,2005,3,-0.0071967100753942,-0.006987711343690431,0.011705548052112486,-0.020953024670496978,-0.003586958379018118,0.010752532625213874,-0.021614319486659705,0.0017638089864167423,0.015364428542290223,0.02007042253521152,0.1916783930082073,-0.22177651224936312,0.0119699042407661,0.0119699042407661,1.7339341133494923,4.39430657208966,0.0425531914893617,0.0272615478650639,0.0,0.0,0.0
ARG,2005-04-30,2005,4,-0.0024162927166032,-0.0015973553842929646,0.006050533191752849,-0.004820936639118312,-0.0033705136381570514,0.010762506889262655,-0.020338983050847248,0.0021493057201270338,0.015180326770117419,0.024822695035461084,0.10101842731838497,-0.2714499723172511,0.0119699042407661,0.0119699042407661,1.725364214806728,4.533836688584106,0.0425531914893617,0.0272615478650639,0.0,0.0,0.0
ARG,2005-05-31,2005,5,-0.0093425605536332,-0.006318521115210199,0.003545660506170481,-0.01884852638793688,-0.0034586805100902678,0.010818037995562498,-0.02086183310533507,-0.0021753402834558742,0.008581289253888581,-0.026190476190475764,0.12388743945905308,-0.3650842798606124,0.0119699042407661,0.0119699042407661,-0.11555490995516346,-0.16947087441085754,0.0119699042407661,0.0097289956874354,0.0,0.0,0.0
ARG,2005-06-30,2005,6,0.0013971358714635,-0.003453905799590965,0.005444515635793939,-0.010355540214014303,-0.005220808571640701,0.00839114871578805,-0.0310915849949307,-0.002002222951763633,0.008634979073261379,-0.024166099387338158,-0.5795489802718747,0.015150421481374318,0.0048209366391185,0.0048209366391185,-0.17843850550507354,-0.24371190293009448,0.0119699042407661,0.0097289956874354,0.0,0.0,0.0
ARG,2005-07-31,2005,7,-0.0090687129403557,-0.005671379207508465,0.006123044765079794,-0.01695501730103799,-0.0036343672959007183,0.005883838260305895,-0.021694214876032958,-0.0033819562913019996,0.008296860445244093,-0.04020270270270243,0.5036705018273586,-1.6656736728150743,0.0048209366391185,0.0048209366391185,0.17286711372490046,0.10304934915807533,0.0119699042407661,0.0088565737420046,0.0,0.0,0.0
ARG,2005-08-31,2005,8,0.0175994368180216,0.003309286583043136,0.013436509708319314,0.009779951100244322,-0.0015046172660835345,0.010249536816315477,-0.009252912954078263,-0.0023939401600704575,0.010011140637410994,-0.028888142425260055,1.6430820619257132,2.7167156608751197,0.0175994368180216,0.0175994368180216,0.6634849535614322,0.36959640016631173,0.0175994368180216,0.014784670529393851,0.0,0.0,0.0
ARG,2005-09-30,2005,9,-0.0003459010722932,0.0027282742684575697,0.013597259591666754,0.00802232298569927,-0.00036281576556670145,0.009862915019541459,-0.0024162927166030412,-0.0019748870722924076,0.00998023291525663,-0.023978385680512804,1.3783873188010505,2.358475585902604,0.0175994368180216,0.0175994368180216,0.5222620675270617,0.2783762240469394,0.0175994368180216,0.014784670529393851,0.0,0.0,0.0
